;index;video_id;view_count;like_count;favorite_count;comment_count;positive_score;negative_score;neutral_score;compound_score
429;429;O-HV_tnYZ5w;686527;25439;0;1309;0.273;0.086;0.641;0.9997
430;430;_zxulfQoQDY;655009;25874;0;5573;0.308;0.103;0.589;0.9998
431;431;88Ro1cZIaVA;620668;17513;0;519;0.166;0.061;0.773;0.9944
432;432;4-yehzUJ3LE;552740;20858;0;582;0.255;0.055;0.69;0.9999
433;433;GidIZ38anQ4;1166312;46114;0;3298;0.239;0.126;0.635;0.9993
434;434;Xf-CAel9afw;841768;19073;0;1025;0.185;0.102;0.713;0.998
435;435;3Wpzn6soqBc;636838;21634;0;1151;0.227;0.041;0.732;0.9967
436;436;Ind4nh2H0_0;1074822;30410;0;2079;0.046;0.009;0.945;0.9973
437;437;RtFZuIBQl64;598358;47757;0;2743;0.255;0.107;0.639;0.9999
438;438;DawIo2PCqBY;560269;17437;0;630;0.255;0.069;0.676;0.9985
439;439;zDgUOPLRuXA;420146;13077;0;808;0.217;0.065;0.718;0.9993
440;440;jr5t2gN2cUE;558670;46036;0;2293;0.252;0.077;0.671;0.9978
441;441;Bf2_4-cpyE0;461178;20012;0;947;0.213;0.059;0.728;0.9996
442;442;IlkcxK3ZLpM;905731;45294;0;2574;0.227;0.073;0.7;0.9994
443;443;PF3MSETIo9M;962885;36437;0;2507;0.029;0.009;0.962;0.9925
444;444;zpsB6xNv2ho;974952;26185;0;1323;0.255;0.078;0.667;0.9972
445;445;tPoVDSnSgEQ;397300;13039;0;928;0.192;0.068;0.74;0.9992
446;446;gqQWH-ps48I;506041;23429;0;584;0.186;0.129;0.685;0.9918
447;447;_iFTFtjbRtU;494770;24104;0;1586;0.248;0.066;0.686;0.9999
448;448;mI8Ab0cAVoM;664675;18967;0;692;0.264;0.051;0.686;0.9997
449;449;unpcO5pkqwY;547070;21917;0;1173;0.212;0.058;0.73;0.9992
450;450;iPGyCUlt7Zo;601677;25463;0;4224;0.27;0.065;0.664;0.9998
451;451;39DpWKTIn3g;883502;25705;0;1428;0.201;0.077;0.722;0.9995
452;452;E5J0Udob4AY;741380;39805;0;1473;0.195;0.069;0.736;0.9996
453;453;eyVuiiG_AGc;491631;17423;0;1074;0.241;0.034;0.724;0.9996
454;454;FmWrmv4dwlo;1038973;31193;0;2281;0.184;0.075;0.741;0.9986
455;455;7ogFeeV-XQw;1441450;54345;0;5192;0.211;0.064;0.725;0.9998
456;456;7bsHI9sYoM8;510757;14308;0;1148;0.195;0.07;0.734;0.9994
457;457;tLg3QPvLacY;770145;29322;0;1584;0.243;0.063;0.694;0.9997
458;458;CeW7VSNvH5I;555552;21644;0;966;0.177;0.075;0.748;0.974
459;459;q1P3lvWoQ-E;505967;19681;0;1321;0.198;0.073;0.729;0.9991
460;460;ffDXhm2vjDs;551378;27846;0;1093;0.274;0.076;0.649;0.9999
461;461;Ozuz_l0TN_I;722008;27173;0;4339;0.207;0.071;0.722;0.9998
462;462;kOCkQAxi_gQ;441765;24402;0;954;0.276;0.057;0.668;0.9999
463;463;m9kgn432wGo;122991;2013;0;169;0.16;0.061;0.779;0.9933
464;464;-hJeatYbiiU;707006;17878;0;972;0.213;0.126;0.661;0.9992
465;465;7DNh-15CwUQ;522217;14786;0;1181;0.233;0.069;0.697;0.9998
466;466;buZCrHmaCLw;437988;18574;0;3537;0.185;0.05;0.765;0.9992
467;467;3S0x8lNHjKg;592126;20351;0;1217;0.026;0.014;0.96;0.9764
468;468;mm0sZQvFH2g;488150;20353;0;538;0.191;0.032;0.778;0.9992
469;469;8zdBcpzr3Y4;848652;23867;0;2990;0.254;0.064;0.682;0.9999
470;470;yQQ472O3d4s;518233;18058;0;1918;0.212;0.058;0.73;0.9997
471;471;hl5txOjLddQ;413415;10511;0;1323;0.293;0.091;0.616;1.0
472;472;95E8QdoHnn0;862309;36054;0;1403;0.227;0.088;0.685;0.9993
473;473;GR4yiRD2g8E;766503;38406;0;2260;0.034;0.009;0.958;0.9972
474;474;KF1yMNhq53g;549279;24317;0;6028;0.211;0.075;0.713;0.9997
475;475;UKnF5LdGZRo;633482;18463;0;1022;0.18;0.059;0.762;0.9997
476;476;swfOOExF_YQ;1504094;36399;0;2729;0.297;0.073;0.63;0.9997
477;477;iCFhpzwbctc;1231929;43219;0;2329;0.034;0.008;0.958;0.9962
478;478;D6Q6doA7Sy4;71061;3328;0;269;0.289;0.049;0.662;0.9987
479;479;rR6es-az7Vk;1027301;39242;0;2099;0.231;0.072;0.698;0.9991
480;480;kUrjdAtJYuU;155096;3036;0;212;0.235;0.047;0.718;0.9993
481;481;I94PZ3q_u6M;667104;21738;0;1056;0.258;0.044;0.698;0.9999
482;482;0IgAdy91Uio;820967;22928;0;2024;0.228;0.071;0.701;0.9999
483;483;qd2YK46r8kQ;1096718;23614;0;2012;0.219;0.051;0.73;0.9997
484;484;hqyBffDOVUY;811437;37000;0;2044;0.19;0.067;0.744;0.9991
485;485;uzKNVndQFFg;543125;23703;0;1638;0.034;0.012;0.953;0.9978
486;486;w8SACz-l4DE;669640;19657;0;1018;0.211;0.075;0.714;0.9997
487;487;bgOsDrdBeWs;1021031;39647;0;2752;0.277;0.047;0.677;1.0
488;488;oGWzoNiWGk4;572041;21149;0;765;0.012;0.005;0.983;0.9493
489;489;trRCNKziPXY;457763;26247;0;2070;0.252;0.071;0.676;0.9999
490;490;DdrEMcel3nw;572474;20827;0;824;0.188;0.069;0.743;0.9996
491;491;45aA4LEys7g;438158;17143;0;1014;0.25;0.04;0.71;0.9999
492;492;NJ6W0VznNYI;537604;17125;0;2200;0.13;0.132;0.738;0.1513
493;493;R8N2zKxy1zY;616837;24592;0;1183;0.232;0.062;0.707;0.9999
494;494;eR7GK7ZCp5k;677737;24657;0;1623;0.267;0.056;0.676;0.9999
495;495;YpjUtfGhNkc;669046;26419;0;1847;0.222;0.047;0.731;0.9997
496;496;PXNjFcUX5Po;681869;28672;0;787;0.03;0.012;0.957;0.9926
497;497;lwg-nhor_v8;570092;21129;0;844;0.208;0.055;0.737;0.9998
498;498;8yF5omB76VA;522211;18013;0;1011;0.04;0.01;0.95;0.9967
499;499;GXMvOoevy9M;1319854;33207;0;7930;0.025;0.009;0.965;0.9882
500;500;Tmb8KilwJ4s;968828;17791;0;1142;0.224;0.086;0.69;0.9974
501;501;h2kNE4fHiQs;617543;22363;0;1647;0.229;0.049;0.722;0.9998
502;502;C7rWK4p2_yg;566334;21620;0;1393;0.222;0.101;0.677;0.9996
503;503;xo91RUvtA-c;960352;106783;0;7399;0.24;0.04;0.72;0.9994
504;504;DEz2W5ZpObk;875099;36732;0;1823;0.318;0.069;0.614;0.9999
505;505;X8sHhzBPUrU;1068137;103696;0;11290;0.339;0.073;0.588;0.987
506;506;DBjm9C8fKiA;703454;36550;0;2544;0.231;0.072;0.696;0.9998
507;507;q9llNVNdSiU;804875;21185;0;1217;0.175;0.068;0.757;0.9968
508;508;EmxajK5B8sk;539336;16627;0;719;0.232;0.073;0.695;0.9986
509;509;QbWUFq82B2k;568958;22356;0;744;0.252;0.102;0.646;0.9994
