;video_id;view_count;like_count;favorite_count;comment_count;positive_score;negative_score;neutral_score;compound_score
24;3S0x8lNHjKg;590605;20325;0;1221;0.010477787091366304;0.005448449287510477;0.9748533109807209;0.0016574601844090533
25;WrUh0C26rqA;717131;25159;0;2221;0.10204081632653061;0.018367346938775512;0.8639455782312925;0.03289115646258502
26;lm9R8gy-s5A;603647;17586;0;1208;0.10767590618336886;0.03304904051172708;0.8406183368869936;0.029259008528784606
27;O_-ndYYF-d0;685943;24511;0;1308;0.10876954452753229;0.027192386131883073;0.8307273963290279;0.032179605710401064
28;wsv56RDRLCA;662744;45965;0;2696;0.07220216606498195;0.032490974729241874;0.8808664259927798;0.01873068592057762
29;a35uYQODHjc;516441;18999;0;855;0.1068090787716956;0.037828215398308856;0.8135291499777481;0.027562661326212677
30;9_9BIP369aU;776521;27997;0;2673;0.07790368271954674;0.03611898016997167;0.8562322946175638;0.01764341359773372
31;Z5nuOTf_FyY;599020;24017;0;1524;0.1062992125984252;0.028871391076115485;0.8385826771653543;0.030954855643044607
32;FyZb6yK7k9M;435130;16633;0;1036;0.08879590887959089;0.023245002324500233;0.8735471873547187;0.02611645746164569
33;aZdR3TJRtX8;446243;20517;0;600;0.09282371294851795;0.029641185647425898;0.8572542901716068;0.02491115444617785
34;k948WdI5xqM;467115;18542;0;1466;0.10764430577223089;0.027561102444097763;0.8528341133645346;0.030625377015080557
35;QUTqtN_n8qc;483172;18616;0;606;0.07868383404864092;0.02670481640438722;0.8741058655221745;0.019957272293752985
36;GfErbmlbYIo;472952;18704;0;1369;0.12448979591836734;0.015646258503401362;0.845578231292517;0.04001020408163261
37;0ooC76rWLps;662926;18199;0;1120;0.07624113475177305;0.0384160756501182;0.8693853427895981;0.01521702127659575
38;bfvtfjndz3E;798236;33048;0;1728;0.009138381201044387;0.0034812880765883376;0.974325500435161;0.001800957354221062
39;VGIn9TOyS9I;532080;21723;0;937;0.10654936461388075;0.024437927663734114;0.8543499511241447;0.034739393939393945
40;7q3-PiJy7yE;658895;40755;0;1432;0.10843373493975904;0.020080321285140562;0.8594377510040161;0.030712048192771096
41;sL2hlhcNnwA;775701;22363;0;1542;0.10254306808859721;0.03199343724364233;0.8400328137817884;0.02614027891714521
42;XU47aNFCmcw;446212;24151;0;1386;0.11898016997167139;0.03210576015108593;0.8328611898016998;0.033335363550519276
43;9kqeG_PobUA;703602;39085;0;2117;0.1235370611183355;0.04291287386215865;0.8179453836150845;0.03702535760728222
44;G1rr2aE6hz0;634992;20460;0;1349;0.08040842373962986;0.04594767070835992;0.8500319081046586;0.014991895341416732
45;H8UaDpw7PY4;721964;22832;0;1792;0.12903225806451613;0.029493087557603687;0.819815668202765;0.0394552995391704
46;fpocukZN6KY;481387;19389;0;1573;0.0938337801608579;0.0388739946380697;0.8418230563002681;0.02215281501340482
47;unpcO5pkqwY;545722;21888;0;1182;0.08949880668257756;0.025059665871121718;0.8484486873508353;0.02633126491646778
48;5JPzlvi3kdc;564543;24659;0;758;0.10841750841750841;0.024242424242424242;0.8518518518518519;0.03196511784511781
49;OXpYXTjAqJo;863518;63948;0;4664;0.007961783439490446;0.0019904458598726115;0.9820859872611465;0.0020838375796178345
50;whjOIh-hPtU;559596;24278;0;1009;0.08482792050412022;0.04168686379059622;0.8540959767329133;0.017700920988851208
51;R4MY98KLJsI;683763;27748;0;1307;0.1006423982869379;0.03568879371877231;0.8508208422555318;0.027738329764453968
52;rmKTrLR2kkU;523716;20275;0;573;0.09963768115942029;0.019021739130434784;0.865036231884058;0.0330677536231884
53;I94PZ3q_u6M;663609;21700;0;1058;0.11207685269899359;0.021500457456541628;0.8504117108874657;0.03793426349496788
54;kOCkQAxi_gQ;427801;23872;0;947;0.12196812196812197;0.02564102564102564;0.814968814968815;0.040645807345807285
55;5U2i9VPCfRw;653068;27308;0;1669;0.11276733635774465;0.037589112119248216;0.8334413480233311;0.029706092028515905
56;fwjrIdA-jyA;664197;22065;0;1445;0.10039893617021277;0.034574468085106384;0.8457446808510638;0.02795824468085104
57;iPGyCUlt7Zo;600631;25445;0;4231;0.10897435897435898;0.030448717948717948;0.8293269230769231;0.03322395833333332
58;31p9f1vSsrw;748803;26072;0;2116;0.11715481171548117;0.027196652719665274;0.8284518828451883;0.03541966527196648
59;cX0S48iH6x4;1169254;34426;0;2417;0.015612489991993595;0.0034027221777421937;0.9755804643714971;0.004279763811048836
60;OU4cuXR9dKY;584831;19052;0;2854;0.11764705882352941;0.026931254429482635;0.8384124734231042;0.03620205527994326
61;1_f1IcESMzs;496396;21444;0;601;0.11936036550542548;0.03997715591090805;0.8195316961736151;0.032538777841233525
62;VfaH9zCtDRw;714358;21514;0;1197;0.10374493927125505;0.035931174089068825;0.8481781376518218;0.02350561740890685
63;bQFHc4h0E7Y;537292;22233;0;719;0.0945692883895131;0.0299625468164794;0.852996254681648;0.025089794007490646
64;XW3V5Ta5Ydc;399855;16009;0;3050;0.09151291512915129;0.028782287822878228;0.8605166051660517;0.02480258302583025
65;Rgvk5jyQe3A;595508;23549;0;1166;0.09458128078817735;0.022660098522167486;0.8738916256157635;0.031048669950738933
66;gBsZt0n-wb4;97024;4411;0;360;0.11518324607329843;0.038394415357766144;0.8324607329842932;0.0295937172774869
67;bWd_Mg4JTK8;972722;49013;0;2504;0.1163101604278075;0.03074866310160428;0.8449197860962567;0.03670748663101605
68;4F7R9DfwvY0;583613;16049;0;1668;0.1062618595825427;0.03795066413662239;0.8396584440227703;0.027149525616698294
69;nGXNxnc5bVI;564875;20359;0;1904;0.09296482412060302;0.03768844221105527;0.8511306532663316;0.022340829145728647
70;4m4tlwOs-Zk;507778;19757;0;920;0.08744993324432576;0.02870493991989319;0.8471295060080107;0.022995460614152217
71;D38YGm0E2zM;557969;29374;0;1097;0.12428842504743833;0.03795066413662239;0.8263757115749526;0.03429326375711566
72;OY3OYwB10KY;541170;15890;0;2290;0.10376213592233009;0.038834951456310676;0.8319174757281553;0.02517827669902909
73;gMnfYPA56gM;815247;24566;0;1728;0.08650681711330513;0.03714151386929948;0.8509637987776211;0.018087306064880095
74;Wqmne0Vn1Uk;430244;16445;0;431;0.09061313076505698;0.042322300596852956;0.8513293543136191;0.019217634291915354
75;gqQWH-ps48I;501427;23311;0;584;0.0812274368231047;0.06678700361010831;0.8357400722021661;0.010296750902527081
76;NL-c3Hy_vdk;607982;23406;0;1511;0.13382899628252787;0.03903345724907063;0.8094795539033457;0.03940827137546471
