;video_id;view_count;like_count;favorite_count;comment_count;positive_score;negative_score;neutral_score;compound_score
67;wsv56RDRLCA;666575;46058;0;2691;0.07608695652173914;0.03260869565217391;0.8768115942028986;0.0201072463768116
68;ALfRC5YG0k4;560858;27068;0;4274;0.09587217043941411;0.03861517976031957;0.844207723035952;0.021155392809587205
69;wt5HvtReLew;609225;18053;0;1114;0.09177027827116636;0.03315571343990527;0.8413262285375962;0.024563114268798106
70;nGXNxnc5bVI;567679;20430;0;1907;0.09353421217827998;0.037037037037037035;0.8512241054613936;0.022723728813559326
71;vZzTrA2aElw;682077;22988;0;1142;0.10514834205933682;0.04144851657940663;0.831151832460733;0.02790881326352528
72;_RKu4furQgY;509221;20538;0;666;0.09201623815967523;0.03382949932341001;0.8592692828146143;0.02124397834912039
73;WDFXK5gBVC0;426194;15983;0;821;0.07008086253369272;0.03234501347708895;0.889487870619946;0.014956603773584912
74;qjTxkdhKTtg;532280;15774;0;869;0.10377358490566038;0.04851752021563342;0.8315363881401617;0.025366846361185993
75;2mJdOu9PxBI;527986;14881;0;1037;0.07751937984496124;0.03798449612403101;0.858139534883721;0.01345302325581395
76;rKp7Ygs6hfY;806893;31198;0;2148;0.09932140653917335;0.022208513263417645;0.8439235040098705;0.029369154842689663
77;dgPv2tWaBnQ;836545;31289;0;5138;0.11551155115511551;0.03135313531353135;0.8316831683168316;0.031580693069306935
78;I6voV31MoBk;527598;22621;0;1175;0.1084765856550089;0.03912270302311796;0.8393598103141672;0.02803366923532895
79;n44Ie62qoWM;572252;19797;0;839;0.09985528219971057;0.01881331403762663;0.8603473227206947;0.035070911722141794
80;5gV6f0iYBpw;631734;22739;0;1715;0.08220502901353965;0.03481624758220503;0.8529980657640233;0.018440135396518374
81;d_ekJXGYaI8;755349;44652;0;2522;0.10032102728731943;0.02086677367576244;0.8643659711075441;0.03353306581059389
82;Y0HP30W5Jxw;649899;18024;0;939;0.09316770186335403;0.033126293995859216;0.8571428571428571;0.022313146997929616
83;2Svn9eLQKss;625515;21053;0;1459;0.10078878177037687;0.04075372480280456;0.8330411919368974;0.023677037686240104
84;i4qcC0LFfTs;580113;23228;0;1363;0.013732491073880802;0.0030211480362537764;0.9802252128536116;0.0031958253227135397
85;BPC_F5gYLAA;756895;21602;0;1668;0.10800970873786407;0.03822815533980582;0.837378640776699;0.027216262135922313
